int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
28,6006,59878,0,0,0
30,21628,29,1,1,0
28,8408,20,1,1,0
34,61325,8022,61325,1,0
