int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
34,6218,37195,37195,0,0
32,28355,8,8,0,0
30,40478,32899,1,1,0
9,60611,27,0,0,0
