int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
26,25181,64299,1,1,0
2,64124,42659,23775,0,0
27,64101,12,1,1,0
28,58142,56418,1,1,0
