int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
25,17330,42583,1,1,0
0,45599,28,45627,0,0
34,2293,18,2293,1,0
30,49136,34551,1,1,0
