int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,24763,16606,0
1,1,60227,24763,0
0,1,60227,0,0
0,1,60227,0,0
1,1,60227,60227,0
1,0,60227,60227,0
