int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,14118,14118,0
1,1,58664,14118,0
0,1,58664,0,0
0,1,58664,0,0
1,1,58664,58664,0
1,0,58664,58664,0
