int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,52326,41297,0
1,1,35684,52326,0
0,1,35684,0,0
0,1,35684,0,0
1,1,35684,35684,0
1,0,35684,35684,0
