int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,49000,13289,0
1,1,29799,49000,0
0,1,29799,0,0
0,1,29799,0,0
1,1,29799,29799,0
1,0,29799,29799,0
