int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,15642,15642,0
1,1,8109,15642,0
0,1,8109,0,0
0,1,8109,0,0
1,1,8109,8109,0
1,0,8109,8109,0
