int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,52241,52241,0
1,0,52241,52241,0
0,0,52241,0,0
0,0,52241,0,0
1,0,52241,0,0
1,0,52241,0,0
1,1,58648,0,0
1,0,58648,58648,0
1,0,58648,58648,0
