int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,45850,45850,0
1,0,45850,45850,0
0,0,45850,0,0
1,0,45850,0,0
1,0,45850,0,0
1,1,5117,0,0
1,1,39310,5117,0
1,1,40610,39310,0
