int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,20109,20109,0
1,1,44670,20109,0
0,1,44670,0,0
0,1,44670,0,0
1,1,44670,44670,0
1,0,44670,44670,0
