int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,210,217,0,0,5
1,1,0,80,217,0,0,5
1,0,0,80,217,0,0,6
1,1,0,191,217,0,0,6
1,0,0,191,217,0,0,7
1,1,0,135,217,0,0,7
1,0,0,135,217,1,0,8
1,0,0,135,217,1,0,8
1,0,0,135,217,1,0,8
1,0,0,135,217,1,0,8
1,0,0,135,217,1,0,8
1,0,1,135,217,1,0,8
1,0,0,135,57,0,0,7
1,1,0,55,57,0,0,7
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
1,0,0,55,57,1,0,8
