int rst_n,int req0,int req1,int req2,int req3,int gnt0,int gnt1,int gnt2,int gnt3,int gnt_valid,int gnt_id
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1,1
1,0,0,1,0,0,0,1,0,1,2
1,0,0,0,0,0,0,1,0,1,2
1,0,0,0,0,0,0,0,0,0,0
