int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,1,0
1,0,0,0,3,0,0,0,0
1,1,0,1,2,160,0,0,0
1,1,1,1,2,160,0,0,0
1,1,1,1,2,160,0,1,0
1,0,0,1,2,160,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0
1,1,0,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,1,0
1,0,0,0,3,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,3,101,0,0,0
1,1,1,1,3,101,0,0,0
1,1,1,1,3,101,0,0,0
1,1,1,1,3,101,0,0,0
1,1,1,1,3,101,0,1,0
1,0,0,1,3,101,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,3,231,0,0,0
1,1,1,1,3,231,0,0,0
1,1,1,1,3,231,0,0,0
1,1,1,1,3,231,0,0,0
1,1,1,1,3,231,0,1,0
1,0,0,1,3,231,0,0,0
1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0
1,1,1,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,1,0,0,3,231,0,0,0
1,1,1,0,3,231,0,0,0
1,1,1,0,3,231,0,0,0
1,1,1,0,3,231,0,0,0
1,1,1,0,3,231,231,1,0
1,0,0,0,3,231,231,0,0
1,1,0,0,0,0,231,0,0
1,1,1,0,0,0,231,0,0
1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,1,0
1,0,0,0,3,0,0,0,0
1,1,0,0,2,0,0,0,0
1,1,1,0,2,0,0,0,0
1,1,1,0,2,0,0,1,0
1,0,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
