int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,1,2,2,0,0,0
1,1,1,1,2,2,0,0,0
1,1,1,1,2,2,0,1,0
1,0,0,1,2,2,0,1,0
1,1,0,1,3,11,0,0,0
1,1,1,1,3,11,0,0,0
1,1,1,1,3,11,0,0,0
1,1,1,1,3,11,0,0,0
1,1,1,1,3,11,0,1,0
1,0,0,1,3,11,0,0,0
1,1,0,1,0,94,0,0,0
1,1,1,1,0,94,0,0,0
1,1,1,1,0,94,0,1,0
1,0,0,1,0,94,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,1,0
1,0,0,0,3,0,0,0,0
1,1,0,1,3,36,0,0,0
1,1,1,1,3,36,0,0,0
1,1,1,1,3,36,0,0,0
1,1,1,1,3,36,0,0,0
1,1,1,1,3,36,0,1,0
1,0,0,1,3,36,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,0,92,0,0,0
1,1,1,1,0,92,0,0,0
1,1,1,1,0,92,0,1,0
1,0,0,1,0,92,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,2,40,0,0,0
1,1,1,1,2,40,0,0,0
1,1,1,1,2,40,0,1,0
1,0,0,1,2,40,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
