int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,186,19,0,0,5
1,1,0,189,19,0,0,5
1,0,0,189,19,0,0,6
1,1,0,220,19,0,0,6
1,0,0,220,19,0,0,7
1,1,0,47,19,0,0,7
1,0,0,47,19,1,0,8
1,0,0,47,19,1,0,8
1,0,0,47,19,1,0,8
1,0,0,47,19,1,0,8
1,0,1,47,19,1,0,8
1,0,0,47,3,0,0,7
1,1,0,245,3,0,0,7
1,0,0,245,3,1,0,8
1,0,0,245,3,1,0,8
1,0,0,245,3,1,0,8
1,0,0,245,3,1,0,8
1,0,0,245,3,1,0,8
1,0,0,245,3,1,0,8
1,0,1,245,3,1,0,8
1,0,0,245,69,0,0,7
1,0,1,245,69,0,0,7
