int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,189,208,0,0,5
1,1,0,124,208,0,0,5
1,0,0,124,208,0,0,6
1,1,0,94,208,0,0,6
1,0,0,94,208,0,0,7
1,1,0,245,208,0,0,7
1,0,0,245,208,1,0,8
1,0,1,245,208,1,0,8
1,0,0,245,106,0,0,7
1,0,1,245,106,0,0,7
1,0,0,245,180,0,0,6
1,0,1,245,180,0,0,6
1,0,0,245,136,0,0,5
1,1,0,219,136,0,0,5
1,0,0,219,136,0,0,6
1,1,0,92,136,0,0,6
1,0,0,92,136,0,0,7
1,1,0,196,136,0,0,7
1,0,0,196,136,1,0,8
0,0,0,196,136,1,0,8
1,0,0,196,219,0,1,0
1,0,0,196,219,0,1,0
1,0,0,196,219,0,1,0
1,0,0,196,219,0,1,0
