int rst_n,int start,int ain,int bin,int yout,int done
0,0,32325,30570,0,0
1,0,32325,30570,0,0
1,1,36894,53421,0,0
1,1,36894,53421,0,0
1,1,36894,53421,0,0
1,1,36894,53421,106842,0
1,1,36894,53421,320526,0
1,1,36894,53421,747894,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,1602630,0
1,1,36894,53421,220415046,0
1,1,36894,53421,220415046,0
1,1,36894,53421,220415046,0
1,1,36894,53421,1970914374,1
1,1,36894,53421,1970914374,0
1,1,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
1,0,36894,53421,1970914374,0
0,0,36894,53421,0,0
0,0,36894,53421,0,0
1,0,36894,53421,0,0
1,1,6185,14895,0,0
1,1,6185,14895,0,0
1,1,6185,14895,14895,0
1,1,6185,14895,14895,0
1,1,6185,14895,14895,0
1,1,6185,14895,134055,0
1,1,6185,14895,134055,0
1,1,6185,14895,610695,0
1,1,6185,14895,610695,0
1,1,6185,14895,610695,0
1,1,6185,14895,610695,0
1,1,6185,14895,610695,0
1,1,6185,14895,610695,0
1,1,6185,14895,31115655,0
1,1,6185,14895,92125575,0
1,1,6185,14895,92125575,0
1,1,6185,14895,92125575,0
1,1,6185,14895,92125575,1
1,1,6185,14895,92125575,0
1,1,6185,14895,92125575,0
1,0,6185,14895,92125575,0
1,0,6185,14895,92125575,0
1,0,6185,14895,92125575,0
1,0,6185,14895,92125575,0
1,0,6185,14895,92125575,0
1,0,6185,14895,92125575,0
