int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,48583,19463,0
1,1,3554,48583,0
0,1,3554,0,0
0,1,3554,0,0
1,1,3554,3554,0
1,0,3554,3554,0
