int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,64742,23334,0
1,1,28684,64742,0
0,1,28684,0,0
0,1,28684,0,0
1,1,28684,28684,0
1,0,28684,28684,0
