int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,5549,29352,0
1,1,19381,5549,0
0,1,19381,0,0
0,1,19381,0,0
1,1,19381,19381,0
1,0,19381,19381,0
