int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,22231,33784,0
1,1,46964,22231,0
0,1,46964,0,0
0,1,46964,0,0
1,1,46964,46964,0
1,0,46964,46964,0
