int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,50211,42844,0
1,1,42136,50211,0
0,1,42136,0,0
0,1,42136,0,0
1,1,42136,42136,0
1,0,42136,42136,0
