int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,49664,49664,0
1,1,25284,49664,0
0,1,25284,0,0
0,1,25284,0,0
1,1,25284,25284,0
1,0,25284,25284,0
