int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,28688,28688,0
1,1,37153,28688,0
0,1,37153,0,0
0,1,37153,0,0
1,1,37153,37153,0
1,0,37153,37153,0
