int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,0,38402,38402,0
1,0,38402,38402,0
0,0,38402,0,0
0,0,38402,0,0
1,0,38402,0,0
1,0,38402,0,0
1,1,36613,0,0
1,1,52132,36613,0
1,0,52132,52132,0
0,0,52132,0,0
1,0,52132,0,0
1,0,52132,0,0
1,1,46708,0,0
1,1,32105,46708,0
1,1,27389,32105,0
