int rst_n,int wr_en_i,int wr_data_i,int rd_data_o,int rd_error_o
1,1,122,52652,0
1,1,15396,122,0
0,1,15396,0,0
0,1,15396,0,0
1,1,15396,15396,0
1,0,15396,15396,0
