int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
31,31,31,31,0,1
31,12345,0,0,0,0
32,0,0,0,0,1
32,1,0,0,0,0
32,0,1,0,1,0
32,7,7,7,0,1
32,65535,1,1,0,0
