int a,int b,int cin,int sum,int cout
7,108,1,116,0
213,49,0,6,1
248,13,1,6,1
216,39,0,255,0
200,62,0,6,1
189,132,1,66,1
216,46,1,7,1
15,13,0,28,0
200,60,1,5,1
26,113,0,139,0
200,57,0,1,1
246,9,1,0,1
5,11,0,16,0
20,101,0,121,0
203,55,1,3,1
243,17,0,4,1
211,45,0,0,1
12,4,1,17,0
