int a,int b,int cin,int sum,int cout
236,23,1,4,1
254,2,0,0,1
249,7,1,1,1
196,215,0,155,1
235,23,0,2,1
218,43,1,6,1
94,104,1,199,0
1,3,1,5,0
13,14,0,27,0
231,217,1,193,1
200,58,1,3,1
14,3,1,18,0
13,1,0,14,0
235,23,1,3,1
221,79,1,45,1
