int a,int b,int cin,int sum,int cout
209,51,1,5,1
9,11,0,20,0
247,9,0,0,1
11,1,1,13,0
222,36,1,3,1
227,29,0,0,1
231,29,0,4,1
84,208,1,37,1
212,47,0,3,1
84,184,0,12,1
54,204,1,3,1
