int a,int b,int cin,int sum,int cout
245,13,1,3,1
13,12,0,25,0
224,37,1,6,1
52,69,1,122,0
10,13,0,23,0
187,240,0,171,1
15,4,1,20,0
255,5,1,5,1
211,80,0,35,1
204,57,0,5,1
202,55,0,1,1
