int a,int b,int cin,int sum,int cout
3,7,1,11,0
13,8,1,22,0
238,174,1,157,1
0,8,1,9,0
234,23,0,1,1
226,35,0,5,1
238,18,1,1,1
102,216,1,63,1
255,1,0,0,1
205,55,1,5,1
195,102,1,42,1
253,8,0,5,1
218,38,1,1,1
159,215,0,118,1
