int A,int B,int A_greater,int A_equal,int A_less
0,3,0,0,1
4,0,1,0,0
6,2,1,0,0
4,6,0,0,1
0,4,0,0,1
3,0,1,0,0
5,4,1,0,0
3,3,0,1,0
6,5,1,0,0
6,0,1,0,0
0,0,0,1,0
