int A,int B,int A_greater,int A_equal,int A_less
6,4,1,0,0
3,4,0,0,1
5,7,0,0,1
6,3,1,0,0
2,6,0,0,1
0,1,0,0,1
4,3,1,0,0
5,6,0,0,1
6,7,0,0,1
5,3,1,0,0
