int a,int b,int cin,int sum,int cout
0,0,1,1,0
255,0,0,255,0
255,0,1,0,1
255,255,1,255,1
128,127,0,255,0
128,128,0,0,1
1,254,1,0,1
15,240,0,255,0
170,85,0,255,0
246,14,1,5,1
233,25,1,3,1
2,3,1,6,0
0,8,0,8,0
240,22,0,6,1
212,46,1,3,1
4,2,1,7,0
