int a,int b,int cin,int sum,int cout
7,2,1,10,0
204,58,0,6,1
233,28,1,6,1
11,3,1,15,0
220,35,0,255,0
220,38,1,3,1
3,47,1,51,0
1,2,1,4,0
241,21,0,6,1
155,105,0,4,1
251,15,0,10,1
