int a,int b,int cin,int sum,int cout
252,8,1,5,1
24,156,0,180,0
92,191,0,27,1
245,12,1,2,1
217,44,0,5,1
34,172,0,206,0
237,24,1,6,1
46,213,0,3,1
13,240,0,253,0
252,9,1,6,1
3,13,0,16,0
162,93,1,0,1
236,133,0,113,1
6,11,1,18,0
175,207,0,126,1
245,208,1,198,1
53,176,1,230,0
220,36,1,1,1
153,134,1,32,1
215,45,0,4,1
8,3,1,12,0
218,44,0,6,1
239,124,1,108,1
216,43,0,3,1
