int a,int b,int cin,int sum,int cout
5,10,1,16,0
252,7,1,4,1
252,8,1,5,1
232,175,0,151,1
0,13,1,14,0
225,37,1,7,1
155,245,1,145,1
211,44,0,255,0
1,11,0,12,0
229,28,1,2,1
243,14,1,2,1
8,15,0,23,0
4,11,1,16,0
1,0,1,2,0
250,6,0,0,1
202,55,0,1,1
252,9,1,6,1
15,14,0,29,0
57,223,1,25,1
201,57,1,3,1
4,10,0,14,0
239,23,1,7,1
237,29,1,11,1
84,90,0,174,0
5,0,1,6,0
240,22,0,6,1
215,45,1,5,1
236,23,0,3,1
247,11,0,2,1
12,6,1,19,0
