int a,int b,int cin,int sum,int cout
43,180,1,224,0
204,54,0,2,1
87,246,1,78,1
200,58,0,2,1
208,48,1,1,1
7,0,1,8,0
207,50,1,2,1
242,162,0,148,1
178,134,0,56,1
114,93,1,208,0
