int a,int b,int cin,int sum,int cout
237,19,1,1,1
10,9,0,19,0
239,21,0,4,1
236,23,1,4,1
224,32,0,0,1
221,40,1,6,1
249,13,0,6,1
203,56,1,4,1
8,9,1,18,0
219,43,1,7,1
202,54,0,0,1
15,8,0,23,0
