int a,int b,int cin,int sum,int cout
5,14,1,20,0
2,13,0,15,0
100,232,0,76,1
2,11,0,13,0
231,31,0,6,1
201,55,1,1,1
229,192,0,165,1
224,36,1,5,1
6,5,1,12,0
