int a,int b,int cin,int sum,int cout
1,2,1,4,0
1,217,0,218,0
246,15,1,6,1
12,0,1,13,0
209,47,0,0,1
234,27,1,6,1
115,103,0,218,0
208,49,1,2,1
202,237,0,183,1
