int a,int b,int cin,int sum,int cout
34,110,1,145,0
209,50,0,3,1
253,9,1,7,1
205,53,0,2,1
212,48,1,5,1
209,54,1,8,1
248,14,0,6,1
202,60,1,7,1
2,7,0,9,0
