int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,0,3,88,0,0,0
1,1,1,0,3,88,0,0,0
1,1,1,0,3,88,0,0,0
1,1,1,0,3,88,0,0,0
1,1,1,0,3,88,88,1,0
1,0,0,0,3,88,88,0,0
1,0,0,0,0,0,88,0,0
1,0,0,0,0,0,88,0,0
1,0,0,0,0,0,88,0,0
1,0,0,0,0,0,88,0,0
1,1,0,1,0,72,88,0,0
1,1,1,1,0,72,88,0,0
1,1,1,1,0,72,88,1,0
1,0,0,1,0,72,88,1,0
1,1,0,1,3,201,88,0,0
1,1,1,1,3,201,88,0,0
1,1,1,1,3,201,88,0,0
1,1,1,1,3,201,88,0,0
1,1,1,1,3,201,88,1,0
1,0,0,1,3,201,88,0,0
1,1,0,0,3,201,88,0,0
1,1,1,0,3,201,88,0,0
1,1,1,0,3,201,88,0,0
1,1,1,0,3,201,88,0,0
1,1,1,0,3,201,201,1,0
1,0,0,0,3,201,201,0,0
1,1,0,1,0,147,201,0,0
1,1,1,1,0,147,201,0,0
1,1,1,1,0,147,201,1,0
1,0,0,1,0,147,201,1,0
1,0,0,0,0,0,201,0,0
1,0,0,0,0,0,201,0,0
1,1,0,0,0,147,201,0,0
1,1,1,0,0,147,201,0,0
1,1,1,0,0,147,147,1,0
1,0,0,0,0,147,147,1,0
1,1,0,0,2,206,147,0,0
1,1,1,0,2,206,147,0,0
1,1,1,0,2,206,206,1,0
1,0,0,0,2,206,206,1,0
1,0,0,0,0,0,206,0,0
1,0,0,0,0,0,206,0,0
1,0,0,0,0,0,206,0,0
1,0,0,0,0,0,206,0,0
1,1,0,1,2,116,206,0,0
1,1,1,1,2,116,206,0,0
1,1,1,1,2,116,206,1,0
1,0,0,1,2,116,206,1,0
1,1,0,1,2,50,206,0,0
1,1,1,1,2,50,206,0,0
1,1,1,1,2,50,206,1,0
1,0,0,1,2,50,206,1,0
1,1,0,1,7,99,206,0,0
1,1,1,1,7,99,206,0,0
1,1,1,1,7,99,206,1,1
1,0,0,1,7,99,206,1,1
0,0,0,0,0,0,206,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,3,247,0,0,0
1,1,1,1,3,247,0,0,0
1,1,1,1,3,247,0,0,0
1,1,1,1,3,247,0,0,0
1,1,1,1,3,247,0,1,0
1,0,0,1,3,247,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,3,247,0,0,0
1,1,1,0,3,247,0,0,0
1,1,1,0,3,247,0,0,0
1,1,1,0,3,247,0,0,0
1,1,1,0,3,247,247,1,0
1,0,0,0,3,247,247,0,0
1,0,0,0,0,0,247,0,0
1,0,0,0,0,0,247,0,0
1,1,0,1,0,251,247,0,0
1,1,1,1,0,251,247,0,0
1,1,1,1,0,251,247,1,0
1,0,0,1,0,251,247,1,0
1,1,0,1,0,51,247,0,0
1,1,1,1,0,51,247,0,0
1,1,1,1,0,51,247,1,0
1,0,0,1,0,51,247,1,0
1,1,0,0,0,51,247,0,0
1,1,1,0,0,51,247,0,0
1,1,1,0,0,51,51,1,0
1,0,0,0,0,51,51,1,0
1,0,0,0,0,0,51,0,0
1,0,0,0,0,0,51,0,0
1,1,0,1,2,243,51,0,0
1,1,1,1,2,243,51,0,0
1,1,1,1,2,243,51,1,0
1,0,0,1,2,243,51,1,0
1,1,0,1,2,1,51,0,0
1,1,1,1,2,1,51,0,0
1,1,1,1,2,1,51,1,0
1,0,0,1,2,1,51,1,0
1,1,0,1,7,158,51,0,0
1,1,1,1,7,158,51,0,0
1,1,1,1,7,158,51,1,1
1,0,0,1,7,158,51,1,1
1,1,0,0,3,247,51,0,0
1,1,1,0,3,247,51,0,0
1,1,1,0,3,247,51,0,0
1,1,1,0,3,247,51,0,0
1,1,1,0,3,247,247,1,0
1,0,0,0,3,247,247,0,0
1,0,0,0,0,0,247,0,0
1,0,0,0,0,0,247,0,0
1,1,0,0,3,247,247,0,0
1,1,1,0,3,247,247,0,0
1,1,1,0,3,247,247,0,0
1,1,1,0,3,247,247,0,0
1,1,1,0,3,247,247,1,0
1,0,0,0,3,247,247,0,0
1,1,0,0,7,119,247,0,0
