int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0
1,1,1,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,1,0,1,0,36,0,0,0
1,1,1,1,0,36,0,0,0
1,1,1,1,0,36,0,1,0
1,0,0,1,0,36,0,1,0
1,1,0,1,3,168,0,0,0
1,1,1,1,3,168,0,0,0
1,1,1,1,3,168,0,0,0
1,1,1,1,3,168,0,0,0
1,1,1,1,3,168,0,1,0
1,0,0,1,3,168,0,0,0
1,1,0,0,3,168,0,0,0
1,1,1,0,3,168,0,0,0
1,1,1,0,3,168,0,0,0
1,1,1,0,3,168,0,0,0
1,1,1,0,3,168,168,1,0
1,0,0,0,3,168,168,0,0
1,1,0,0,0,36,168,0,0
1,1,1,0,0,36,168,0,0
1,1,1,0,0,36,36,1,0
1,0,0,0,0,36,36,1,0
1,1,0,0,3,168,36,0,0
1,1,1,0,3,168,36,0,0
1,1,1,0,3,168,36,0,0
1,1,1,0,3,168,36,0,0
1,1,1,0,3,168,168,1,0
1,0,0,0,3,168,168,0,0
1,1,0,1,3,134,168,0,0
1,1,1,1,3,134,168,0,0
1,1,1,1,3,134,168,0,0
1,1,1,1,3,134,168,0,0
1,1,1,1,3,134,168,1,0
1,0,0,1,3,134,168,0,0
0,0,0,0,0,0,168,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
