int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,0,2,0,0,0,0
1,1,1,0,2,0,0,0,0
1,1,1,0,2,0,0,1,0
1,0,0,0,2,0,0,1,0
1,1,0,1,3,105,0,0,0
1,1,1,1,3,105,0,0,0
1,1,1,1,3,105,0,0,0
1,1,1,1,3,105,0,0,0
1,1,1,1,3,105,0,1,0
1,0,0,1,3,105,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0
1,1,0,1,1,29,0,0,0
1,1,1,1,1,29,0,0,0
1,1,1,1,1,29,0,1,0
1,0,0,1,1,29,0,1,0
1,1,0,1,1,70,0,0,0
1,1,1,1,1,70,0,0,0
1,1,1,1,1,70,0,1,0
1,0,0,1,1,70,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,1,3,149,0,0,0
1,1,1,1,3,149,0,0,0
1,1,1,1,3,149,0,0,0
1,1,1,1,3,149,0,0,0
1,1,1,1,3,149,0,1,0
1,0,0,1,3,149,0,0,0
1,1,0,1,1,198,0,0,0
1,1,1,1,1,198,0,0,0
1,1,1,1,1,198,0,1,0
1,0,0,1,1,198,0,1,0
1,1,0,0,1,198,0,0,0
1,1,1,0,1,198,0,0,0
1,1,1,0,1,198,198,1,0
1,0,0,0,1,198,198,1,0
1,0,0,0,0,0,198,0,0
1,0,0,0,0,0,198,0,0
1,0,0,0,0,0,198,0,0
1,0,0,0,0,0,198,0,0
1,0,0,0,0,0,198,0,0
