int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,0,0
1,1,1,0,3,0,0,1,0
1,0,0,0,3,0,0,0,0
1,1,0,1,3,58,0,0,0
1,1,1,1,3,58,0,0,0
1,1,1,1,3,58,0,0,0
1,1,1,1,3,58,0,0,0
1,1,1,1,3,58,0,1,0
1,0,0,1,3,58,0,0,0
1,1,0,1,3,89,0,0,0
1,1,1,1,3,89,0,0,0
1,1,1,1,3,89,0,0,0
1,1,1,1,3,89,0,0,0
1,1,1,1,3,89,0,1,0
1,0,0,1,3,89,0,0,0
1,1,0,1,3,16,0,0,0
1,1,1,1,3,16,0,0,0
1,1,1,1,3,16,0,0,0
1,1,1,1,3,16,0,0,0
1,1,1,1,3,16,0,1,0
1,0,0,1,3,16,0,0,0
1,1,0,1,3,215,0,0,0
1,1,1,1,3,215,0,0,0
1,1,1,1,3,215,0,0,0
1,1,1,1,3,215,0,0,0
1,1,1,1,3,215,0,1,0
1,0,0,1,3,215,0,0,0
1,1,0,1,2,249,0,0,0
1,1,1,1,2,249,0,0,0
1,1,1,1,2,249,0,1,0
1,0,0,1,2,249,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
