int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
0,7,7,14,0,0
0,65535,1,65536,0,0
0,4294967295,1,0,1,1
0,2147483648,2147483648,0,1,1
0,31,31,62,0,0
0,12345,0,12345,0,0
1,0,0,0,1,1
1,1,0,1,0,0
1,0,1,4294967295,0,0
1,7,7,0,1,1
1,65535,1,65534,0,0
