int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
27,31,31,1,1,1
27,12345,0,1,1,0
28,0,0,1,1,1
28,1,0,1,1,0
28,0,1,0,0,0
28,7,7,1,1,1
28,65535,1,1,1,0
