int A,int B,int A_greater,int A_equal,int A_less
2,6,0,0,1
2,0,1,0,0
4,2,1,0,0
2,0,1,0,0
1,6,0,0,1
6,2,1,0,0
3,2,1,0,0
3,7,0,0,1
0,6,0,0,1
1,0,1,0,0
6,5,1,0,0
2,0,1,0,0
