int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
3,31,31,31,0,0
3,12345,0,12345,0,0
4,0,0,0,1,1
4,1,0,0,0,0
4,0,1,0,0,0
4,7,7,7,0,0
