int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
31,21752,30373,21752,1,0
8,45464,29,0,0,0
26,46419,4,0,0,0
25,51589,22,0,0,0
