int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
33,26171,27144,27144,0,0
34,947,8,947,1,0
29,3230,28,0,0,0
30,17261,18337,1,1,0
