int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
27,53719,59008,0,0,0
27,35079,2,1,1,0
25,34933,8221,0,0,0
25,54320,23,0,0,0
