int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,63568,0,1,1
0,1,63568,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
0,0,0,252,0,1
