int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,30420,0,1,1
0,1,30420,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
0,0,0,174,0,1
