int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,40567,0,1,1
0,1,40567,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
0,0,0,201,0,1
