int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,39985,0,1,1
0,1,39985,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
0,0,0,199,0,1
