int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,1575,0,1,1
0,1,1575,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
0,0,0,39,0,1
