int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,33969,0,1,1
0,1,33969,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
0,0,0,184,0,1
