int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,37911,0,1,1
0,1,37911,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
0,0,0,194,0,1
