int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,12759,0,1,1
0,1,12759,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
0,0,0,112,0,1
